Time,Exercise,Reps,+lb,RIR,Rest (after set),
Apr-17 22:14,Tricep Cable Extension,10,85,,,"Straight bar, 2 pulley"
Apr-17 22:17,Tricep Cable Extension,8,85,,,
Apr-17 22:20,Tricep Cable Extension,5,85,,,
Apr-20 21:09,Assisted Pull-ups,7,-90,,,
Apr-20 21:12,Assisted Pull-ups,7,-90,,,
Apr-20 21:18,Assisted Pull-ups,5,-90,,,
Apr-20 21:22,Assisted Pull-ups,6,-90,,,
Apr-20 21:25,Machine Rows,8,90,,,
Apr-20 21:28,Machine Rows,7,90,,,
Apr-20 21:34,Machine Rows,7,90,,,
Apr-20 21:38,BB Bicep Curls,8,80,,,
Apr-20 21:40,BB Bicep Curls,8,80,,,
Apr-20 21:44,BB Bicep Curls,8,80,,,
Apr-21 21:13,Bench Press,4,135,,,
Apr-21 21:16,Bench Press,6,165,,,
Apr-21 21:20,Bench Press,7,155,,,
Apr-21 21:25,Bench Press,7,155,,,
Apr-21 21:29,Bench Press,6,155,,,
Apr-21 21:34,Cable Flyes,9,80,,,
Apr-21 21:38,Cable Flyes,8,80,,,
Apr-21 21:42,Cable Flyes,5,80,,,
Apr-21 21:44,DB Lateral Raise,12,30,,,
Apr-21 21:47,DB Lateral Raise,10,30,,,
Apr-21 21:51,DB Lateral Raise,10,30,,,
Apr-23 21:22,Lat Pulldown,12,140,,,
Apr-23 21:26,Lat Pulldown,8,160,,,
Apr-23 21:31,Lat Pulldown,6,160,,,
Apr-23 21:35,Lat Pulldown,8,140,,,
Apr-23 21:39,Chest-Supported T-Bar Rows,10,45,,,
Apr-23 21:44,Chest-Supported T-Bar Rows,8,70,,,
Apr-23 21:49,Chest-Supported T-Bar Rows,7,70,,,
Apr-23 21:52,Face Pulls,15,40,,,
Apr-23 21:55,Face Pulls,16,40,,,
Apr-23 21:59,Face Pulls,10,50,,,
Apr-23 22:02,BB Bicep Curls,10,80,,,
Apr-23 22:06,BB Bicep Curls,8,80,,,
